asset_id,asset_type,business_unit,internet_exposed,asset_criticality,data_sensitivity,revenue_dependency
AST-000001,Database,Sales,1,2,1,Medium
AST-000002,Cloud_Storage,HR,0,2,1,High
AST-000003,Workstation,Marketing,0,3,2,Medium
AST-000004,Workstation,Operations,1,2,2,Medium
AST-000005,Server,Engineering,0,5,3,Critical
AST-000006,Server,Engineering,0,2,4,High
AST-000007,Server,Engineering,0,2,1,Medium
AST-000008,Network_Device,Operations,0,2,1,Medium
AST-000009,Workstation,Finance,0,3,2,Medium
AST-000010,Workstation,Operations,1,2,3,High
AST-000011,Server,Finance,1,2,1,Low
AST-000012,Cloud_Storage,Engineering,0,5,1,Critical
AST-000013,Network_Device,Sales,0,2,1,Medium
AST-000014,Server,Sales,1,1,4,High
AST-000015,Server,Finance,0,2,3,High
AST-000016,Server,Engineering,0,2,1,Medium
AST-000017,Database,Operations,1,1,3,High
AST-000018,Workstation,Sales,1,2,1,Low
AST-000019,Workstation,Finance,1,3,1,Low
AST-000020,Server,Operations,0,2,2,High
AST-000021,Workstation,Engineering,0,3,1,Medium
AST-000022,Server,HR,1,2,1,Medium
AST-000023,Server,Engineering,0,5,3,Critical
AST-000024,Database,Engineering,1,1,2,Medium
AST-000025,Workstation,Operations,0,1,4,High
AST-000026,Workstation,Operations,1,2,1,Medium
AST-000027,Server,Marketing,0,2,1,Low
AST-000028,Workstation,Marketing,0,1,1,Low
AST-000029,Workstation,Operations,0,1,3,Medium
AST-000030,Server,Operations,0,2,1,Low
AST-000031,Workstation,HR,0,1,1,Low
AST-000032,Server,HR,0,2,1,Medium
AST-000033,Server,Engineering,1,3,2,High
AST-000034,Cloud_Storage,Sales,0,3,1,High
AST-000035,Cloud_Storage,HR,0,1,1,Low
AST-000036,Network_Device,Engineering,0,2,1,Low
AST-000037,Database,Finance,1,2,1,Medium
AST-000038,Server,Marketing,0,4,1,Medium
AST-000039,Workstation,Sales,0,4,1,Medium
AST-000040,Workstation,Engineering,1,1,3,Medium
AST-000041,Server,Operations,0,1,1,Low
AST-000042,Workstation,Finance,0,1,1,Medium
AST-000043,Server,Marketing,0,1,1,Low
AST-000044,Cloud_Storage,Finance,1,2,4,High
AST-000045,Server,Engineering,0,2,1,Low
AST-000046,Workstation,HR,1,1,3,High
AST-000047,Database,Marketing,1,2,3,High
AST-000048,Workstation,Finance,0,4,1,High
AST-000049,Workstation,HR,1,2,1,Low
AST-000050,Server,Sales,0,1,2,Medium
AST-000051,Cloud_Storage,Engineering,0,2,2,Medium
AST-000052,Workstation,Engineering,0,2,2,Medium
AST-000053,Cloud_Storage,Marketing,1,4,3,Critical
AST-000054,Network_Device,Finance,0,1,1,Low
AST-000055,Workstation,Sales,0,2,2,High
