asset_id,asset_type,business_unit,internet_exposed,asset_criticality,data_sensitivity,revenue_dependency,vulnerability_count,critical_vulnerability_count,avg_cvss,avg_epss,patch_delay,failed_logins,anomaly_count,mfa_coverage,edr_coverage,backup_coverage,control_effectiveness,incident_probability_true,incident_occurred,total_loss,recovery_cost,downtime_hours
AST-000001,Database,Sales,1,2,1,Medium,5,0,6.111314152301166,0.3414197624770249,37.54592454822697,14,5,0.7133807022468344,0.5930209234739019,0.6560667783063311,0.6541561346756891,0.09212664117020211,0,0.0,0.0,0.0
AST-000002,Cloud_Storage,HR,0,2,1,High,1,0,6.444064494679054,0.041362583657846216,83.36212787665379,3,0,0.732944789571186,0.3346777766709051,0.6701157701343944,0.5792461121254951,0.01560892675950418,0,0.0,0.0,0.0
AST-000003,Workstation,Marketing,0,3,2,Medium,2,2,9.312730316745865,0.1523963315720206,53.95514702862255,2,1,0.8068147348585252,0.600580417230365,0.8449601880731746,0.750785113387355,0.0236965434549006,0,0.0,0.0,0.0
AST-000004,Workstation,Operations,1,2,2,Medium,6,0,6.0331923428401515,0.14286958755105686,54.00491757058853,10,2,0.7839105877427335,0.30655624492236194,0.5726265257429397,0.5543644528026784,0.05597232490773796,0,0.0,0.0,0.0
AST-000005,Server,Engineering,0,5,3,Critical,3,0,4.854825752941933,0.2168492106443514,9.002948675273444,0,2,0.9170374919175114,0.908887899321853,0.9853953614679917,0.9371069175691186,0.00479828096338584,0,0.0,0.0,0.0
AST-000006,Server,Engineering,0,2,4,High,2,0,4.789792107717574,0.11464988945482563,130.72849123143752,2,0,0.8722350134606462,0.7731060531145065,0.6855885262425375,0.7769765309392301,0.09612901496219103,0,0.0,0.0,0.0
AST-000007,Server,Engineering,0,2,1,Medium,1,0,5.080611266427909,0.013862260008651393,37.81027114591978,2,0,0.9328220108468399,0.7013918591523376,0.998920152504152,0.8777113408344431,0.0034607689445494087,0,0.0,0.0,0.0
AST-000008,Network_Device,Operations,0,2,1,Medium,0,0,0.0,0.0,99.92676146299907,3,1,0.40482902517396696,0.4891760731637581,0.3700464092301185,0.4213505025226145,0.10282627491412763,0,0.0,0.0,0.0
AST-000009,Workstation,Finance,0,3,2,Medium,3,0,5.446803336357524,0.18935225657344382,49.429494928008,3,0,0.777904940616419,0.5942839342917963,0.9149909938923019,0.7623932896001723,0.003293302466816046,0,0.0,0.0,0.0
AST-000010,Workstation,Operations,1,2,3,High,5,2,8.591580462401271,0.13067068757456257,13.350075869517543,13,4,0.43876779216952505,0.8481784078950615,0.9209341727518914,0.7359601242721593,0.12220698604025268,0,0.0,0.0,0.0
AST-000011,Server,Finance,1,2,1,Low,4,0,4.961024074685748,0.2185602257528755,45.81890621103595,16,3,0.4177558399239321,0.7074813546248385,0.8821202607831651,0.6691191517773118,0.03501273042183121,0,0.0,0.0,0.0
AST-000012,Cloud_Storage,Engineering,0,5,1,Critical,3,0,6.820901722757826,0.0880735733193895,19.595002651246617,3,0,0.932952873058458,0.9294702408185698,0.9248127009448913,0.9290786049406398,0.0020032790260315738,0,0.0,0.0,0.0
AST-000013,Network_Device,Sales,0,2,1,Medium,1,0,6.425237461844933,0.08362537585467922,47.15987432928275,3,1,0.5407087910924957,0.6700082499644545,0.9749128241807208,0.728543288412557,0.012564349921855693,0,0.0,0.0,0.0
AST-000014,Server,Sales,1,1,4,High,3,1,9.939810249539363,0.05195860320733269,21.84278934353966,9,4,0.40177923686138933,0.2933601269534934,0.9814904547359936,0.5588766061836254,0.07687700461308586,0,0.0,0.0,0.0
AST-000015,Server,Finance,0,2,3,High,0,0,0.0,0.0,157.12134567272093,2,0,0.670154820157017,0.4325392506021681,0.9128106545571368,0.6718349084387739,0.23196779237698775,0,0.0,0.0,0.0
AST-000016,Server,Engineering,0,2,1,Medium,5,1,8.654796408756713,0.08135182507690933,38.723753788744716,0,3,0.7831772497837438,0.9264260882334389,0.955831306273976,0.8884782147637195,0.01146970113830079,0,0.0,0.0,0.0
AST-000017,Database,Operations,1,1,3,High,8,4,8.969103408131993,0.18660099507285097,45.1791773946188,14,2,0.41254031736046853,0.8520720879861285,0.9281553827831818,0.7309225960432596,0.3990422030183171,0,0.0,0.0,0.0
AST-000018,Workstation,Sales,1,2,1,Low,3,1,8.830467642825283,0.05665144340597891,101.77335502063748,17,1,0.0,0.5534704655079635,0.4157661537764186,0.32307887309479405,0.4758935422710657,0,0.0,0.0,0.0
AST-000019,Workstation,Finance,1,3,1,Low,4,0,3.649438147175984,0.03338329317087106,130.47724470640284,11,4,0.8283329770964749,0.6671309865075842,0.7500567935178514,0.7485069190406368,0.20705072777740813,0,0.0,0.0,0.0
AST-000020,Server,Operations,0,2,2,High,2,1,8.753781568012963,0.03188825015628176,6.16574169754792,0,0,0.6659763064476435,0.4436151824986123,0.5774837972968578,0.5623584287477046,0.012358491228020253,0,0.0,0.0,0.0
AST-000021,Workstation,Engineering,0,3,1,Medium,4,2,7.929656318830912,0.21137131673911466,25.66950684459062,1,0,0.5810125752887003,0.5318612773390823,0.9212903323741743,0.6780547283339856,0.04103093571764837,0,0.0,0.0,0.0
AST-000022,Server,HR,1,2,1,Medium,1,0,5.605760292264765,0.07462559662041314,24.852338831047412,13,2,0.3073045996401152,0.6552408476896195,0.8840217000932235,0.6155223824743193,0.05299499919805367,0,0.0,0.0,0.0
AST-000023,Server,Engineering,0,5,3,Critical,2,1,8.281865044715925,0.1829459462807804,0.7377270563427228,3,0,0.9291545298838754,0.9239110547044923,0.930142415826128,0.9277360001381653,0.004346875193734927,0,0.0,0.0,0.0
AST-000024,Database,Engineering,1,1,2,Medium,5,0,3.522175745906808,0.3645391989548596,6.105687771276122,17,2,0.23330805509797006,0.08742923885750939,0.9677567155707096,0.4294980031753964,0.08424552176887498,0,0.0,0.0,0.0
AST-000025,Workstation,Operations,0,1,4,High,0,0,0.0,0.0,36.16338980591587,1,0,0.9466891714637844,0.2977763832030368,0.9000588983318772,0.7148414843328995,0.008893660384824408,0,0.0,0.0,0.0
AST-000026,Workstation,Operations,1,2,1,Medium,3,1,7.627693053473907,0.40550158136225034,46.8515746080092,13,1,0.8375730237805481,0.7581471101474484,0.6390884784028982,0.7449362041102982,0.29340947270472695,0,0.0,0.0,0.0
AST-000027,Server,Marketing,0,2,1,Low,2,0,6.440340030213469,0.07417884872214896,24.16890556853513,3,0,0.7078986099899042,0.9188940614282534,0.9288048549110922,0.8518658421097499,0.0021528416541205593,0,0.0,0.0,0.0
AST-000028,Workstation,Marketing,0,1,1,Low,1,0,4.225519043908756,0.10413521995794806,201.55353337963305,2,0,0.5514081789226659,0.5173157892448493,0.13907765740640912,0.40260054185797484,0.33353127475878563,1,5401.871082770683,1940.5054767646907,0.3515287265630548
AST-000029,Workstation,Operations,0,1,3,Medium,1,0,3.747006674146154,0.037303329098928154,16.46907205251503,1,1,0.25265464927408404,0.2670423924383042,0.9094694817837439,0.4763888411653774,0.018971265335747486,0,0.0,0.0,0.0
AST-000030,Server,Operations,0,2,1,Low,4,1,8.48768757302014,0.12933838765916847,69.5133199508455,1,0,0.4318960876310227,0.5951038341629948,0.996176216016963,0.6743920459369935,0.03578749668174475,0,0.0,0.0,0.0
AST-000031,Workstation,HR,0,1,1,Low,1,0,5.64047698201604,0.042049311710929536,22.709733805070723,3,1,0.37707617955238426,0.9769312284716312,0.757372583110443,0.7037933303781528,0.012089255087968022,0,0.0,0.0,0.0
AST-000032,Server,HR,0,2,1,Medium,1,0,2.361367201775369,0.06863888412927524,46.71773420841296,3,0,0.6200490202570413,0.7068632189952184,0.7140499704305755,0.6803207365609452,0.016731671438874732,0,0.0,0.0,0.0
